timestamp,timestamp_iso,rel_ms,channel,can_id,source,m33_ms,kind,session_id,subject_id,trial_id,trial_index,label,raw_hex,emg_raw,emg_filt,emg_abs,hr_raw,hr_bpm,flags,adc0,adc1,adc2,adc3,emg_biceps,emg_triceps,emg_ant_deltoid,emg_flags,emg_seq,node_state,node_err_cnt,node_q_fill,ack_cmd,ack_seq,ack_status,motor_slot,ros_slot,m33_joint_id,motor_id,motor_seq,motor_flags,motor_fresh,motor_fault,motor_saturated,motor_pos_mrad,motor_vel_mrad_s,motor_torque_mNm,motor_temp_c,output_current_cmd_a,limit_current_a,shoulder_pos_mrad,shoulder_vel_mrad_s,shoulder_torque_mNm,shoulder_temp_c,shoulder_output_current_cmd_a,shoulder_limit_current_a,shoulder_saturated,shoulder_fresh,shoulder_fault,shoulder_stale,elbow_pos_mrad,elbow_vel_mrad_s,elbow_torque_mNm,elbow_temp_c,elbow_output_current_cmd_a,elbow_limit_current_a,elbow_saturated,elbow_fresh,elbow_fault,elbow_stale,target_shoulder_output_current_cmd_a,target_shoulder_vel_mrad_s,target_shoulder_pos_mrad,target_elbow_output_current_cmd_a,target_elbow_vel_mrad_s,target_elbow_pos_mrad
1782904419.012164,2026-07-01T19:13:39.012,1226600,COM20,,serial,2698260,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698260,358,47,0,1311,0,155,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,358,47,0,1311,358,47,0,0,155,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.032836,2026-07-01T19:13:39.032,1226620,COM20,,serial,2698280,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698280,358,47,0,1311,0,155,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,358,47,0,1311,358,47,0,0,155,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.052237,2026-07-01T19:13:39.052,1226640,COM20,,serial,2698300,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698300,358,47,0,1311,0,155,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,358,47,0,1311,358,47,0,0,155,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.072524,2026-07-01T19:13:39.072,1226660,COM20,,serial,2698320,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698320,442,49,0,1309,0,156,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,442,49,0,1309,442,49,0,0,156,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.092898,2026-07-01T19:13:39.092,1226680,COM20,,serial,2698340,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698340,442,49,0,1309,0,156,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,442,49,0,1309,442,49,0,0,156,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.112225,2026-07-01T19:13:39.112,1226700,COM20,,serial,2698360,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698360,412,63,0,1306,0,157,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,412,63,0,1306,412,63,0,0,157,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.132058,2026-07-01T19:13:39.132,1226720,COM20,,serial,2698380,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698380,412,63,0,1306,0,157,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,412,63,0,1306,412,63,0,0,157,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.152383,2026-07-01T19:13:39.152,1226740,COM20,,serial,2698400,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698400,402,47,0,1311,0,158,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,402,47,0,1311,402,47,0,0,158,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.172106,2026-07-01T19:13:39.172,1226760,COM20,,serial,2698420,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698420,402,47,0,1311,0,158,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,402,47,0,1311,402,47,0,0,158,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.192975,2026-07-01T19:13:39.192,1226780,COM20,,serial,2698440,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698440,402,47,0,1311,0,158,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,402,47,0,1311,402,47,0,0,158,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
