epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.6017061471939087,0.9657073020935059,0.6756756901741028,0.7668415904045105,0.0010000000474974513
1,0.6963033080101013,0.7399281859397888,0.7054054141044617,0.6981916427612305,0.0010000000474974513
2,0.7182938456535339,0.6843502521514893,0.6972972750663757,0.6952980756759644,0.0010000000474974513
3,0.7224644422531128,0.6630489230155945,0.7207207083702087,0.6571274995803833,0.0010000000474974513
4,0.7260663509368896,0.6498134136199951,0.7369369268417358,0.6277415156364441,0.0010000000474974513
5,0.7300474047660828,0.6346930265426636,0.7351351380348206,0.6251707077026367,0.0010000000474974513
6,0.7347867488861084,0.6251397132873535,0.7369369268417358,0.616893470287323,0.0010000000474974513
7,0.7340284585952759,0.6228019595146179,0.7414414286613464,0.6073459982872009,0.0010000000474974513
8,0.7404739260673523,0.6149681806564331,0.754054069519043,0.591956615447998,0.0010000000474974513
9,0.7410426735877991,0.6069101095199585,0.7432432174682617,0.6069371104240417,0.0010000000474974513
10,0.7448341250419617,0.6011145114898682,0.7423423528671265,0.6047284603118896,0.0010000000474974513
11,0.7435070872306824,0.5965870022773743,0.7441441416740417,0.591456413269043,0.0010000000474974513
12,0.7455924153327942,0.5926032662391663,0.7477477192878723,0.5909287333488464,0.0010000000474974513
13,0.7450236678123474,0.5926045179367065,0.7360360622406006,0.6069732308387756,0.0010000000474974513
14,0.7448341250419617,0.5851668119430542,0.7441441416740417,0.5832881927490234,0.0010000000474974513
15,0.7499526143074036,0.5821502208709717,0.7558558583259583,0.589592456817627,0.0010000000474974513
16,0.7495734691619873,0.5825841426849365,0.745945930480957,0.5847668647766113,0.0010000000474974513
17,0.7507109045982361,0.5806257724761963,0.7504504323005676,0.5891707539558411,0.0010000000474974513
18,0.7560189366340637,0.5744159817695618,0.7477477192878723,0.592370867729187,0.0010000000474974513
19,0.7548815011978149,0.5728761553764343,0.7621621489524841,0.5782133340835571,0.0010000000474974513
20,0.7546919584274292,0.5736284852027893,0.7558558583259583,0.5806773900985718,0.0010000000474974513
21,0.7543128132820129,0.5750939249992371,0.7594594359397888,0.578352689743042,0.0010000000474974513
22,0.7543128132820129,0.5690940618515015,0.7630630731582642,0.5847486853599548,0.0010000000474974513
23,0.7527962327003479,0.5754091143608093,0.7648648619651794,0.5682975649833679,0.0010000000474974513
24,0.7543128132820129,0.5650154948234558,0.7666666507720947,0.5645230412483215,0.0010000000474974513
25,0.7548815011978149,0.5651143789291382,0.7576576471328735,0.5785121321678162,0.0010000000474974513
26,0.7537440657615662,0.5700277090072632,0.7603603601455688,0.5717481970787048,0.0010000000474974513
27,0.7575355172157288,0.5669875741004944,0.7603603601455688,0.5707550048828125,0.0010000000474974513
