epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.8530009388923645,0.2966580092906952,0.9615758657455444,0.13050270080566406,0.0010000000474974513
1,0.9534609913825989,0.10942485928535461,0.9649805426597595,0.10495797544717789,0.0010000000474974513
2,0.9625548124313354,0.08530823141336441,0.969357967376709,0.09061324596405029,0.0010000000474974513
3,0.9728255271911621,0.05902629345655441,0.9849221706390381,0.07083239406347275,0.0010000000474974513
4,0.9758211374282837,0.05478334799408913,0.9849221706390381,0.06903354078531265,0.0010000000474974513
5,0.97560715675354,0.05366271734237671,0.9844357967376709,0.06603268533945084,0.0010000000474974513
6,0.9787097573280334,0.0468546487390995,0.9888132214546204,0.07073201984167099,0.0010000000474974513
7,0.9813843965530396,0.04125111177563667,0.987840473651886,0.0663859099149704,0.0010000000474974513
8,0.9801005721092224,0.04364508390426636,0.9912451505661011,0.062773197889328,0.0010000000474974513
9,0.9819193482398987,0.04204573482275009,0.9902724027633667,0.06230105832219124,0.0010000000474974513
10,0.9835241436958313,0.036476537585258484,0.9902724027633667,0.062421441078186035,0.0010000000474974513
11,0.9853429198265076,0.03466666489839554,0.9863813519477844,0.08419772237539291,0.0010000000474974513
12,0.9848079681396484,0.034173816442489624,0.9888132214546204,0.07058054953813553,0.0010000000474974513
13,0.9819193482398987,0.03777433931827545,0.9927042722702026,0.05870380997657776,0.0010000000474974513
14,0.9865197539329529,0.031425364315509796,0.9902724027633667,0.06690844148397446,0.0010000000474974513
15,0.9856638312339783,0.031305763870477676,0.9922178983688354,0.0703926533460617,0.0010000000474974513
16,0.9842730164527893,0.032177869230508804,0.9922178983688354,0.07831932604312897,0.0010000000474974513
17,0.986412763595581,0.030596120283007622,0.9917315244674683,0.07757501304149628,0.0010000000474974513
18,0.9882315397262573,0.02483449876308441,0.993677020072937,0.07947566360235214,0.0010000000474974513
19,0.9872686266899109,0.02921208366751671,0.9927042722702026,0.0751163437962532,0.0010000000474974513
20,0.9856638312339783,0.03002753295004368,0.9922178983688354,0.06891313195228577,0.0010000000474974513
21,0.9897293448448181,0.02287113480269909,0.9912451505661011,0.09040642529726028,0.0010000000474974513
22,0.9887664318084717,0.027524325996637344,0.9912451505661011,0.08117781579494476,0.0010000000474974513
23,0.9899433255195618,0.020787939429283142,0.9922178983688354,0.0803477019071579,0.0010000000474974513
24,0.9910131692886353,0.019568368792533875,0.9849221706390381,0.0940886065363884,0.0010000000474974513
25,0.9873756170272827,0.026408491656184196,0.9907587766647339,0.0859905257821083,0.0010000000474974513
26,0.9896223545074463,0.021760959178209305,0.9854085445404053,0.098704993724823,0.0010000000474974513
27,0.9900502562522888,0.024441465735435486,0.9873540997505188,0.09793493151664734,0.0010000000474974513
28,0.9902642369270325,0.022917883470654488,0.9927042722702026,0.08909718692302704,0.0010000000474974513
