epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.6439024209976196,0.6711338758468628,0.7408906817436218,0.5002699494361877,0.0010000000474974513
1,0.7164369225502014,0.4621911942958832,0.7403846383094788,0.45169946551322937,0.0010000000474974513
2,0.7364793419837952,0.41731011867523193,0.7449392676353455,0.45001327991485596,0.0010000000474974513
3,0.734252393245697,0.40199658274650574,0.7474696636199951,0.4390590190887451,0.0010000000474974513
4,0.7420997023582458,0.3885193169116974,0.7631579041481018,0.4348828196525574,0.0010000000474974513
5,0.751643717288971,0.3818468749523163,0.7672064900398254,0.4346844255924225,0.0010000000474974513
6,0.7531282901763916,0.3760598301887512,0.7570850253105164,0.4287814497947693,0.0010000000474974513
7,0.760869562625885,0.3734849691390991,0.7545546293258667,0.4368343949317932,0.0010000000474974513
8,0.7609755992889404,0.3633042275905609,0.7575910687446594,0.42746028304100037,0.0010000000474974513
9,0.7624602317810059,0.36819446086883545,0.7510121464729309,0.4285307824611664,0.0010000000474974513
10,0.7557794451713562,0.36143815517425537,0.7591093182563782,0.4461999237537384,0.0010000000474974513
11,0.7610816359519958,0.35588741302490234,0.76113361120224,0.41883793473243713,0.0010000000474974513
12,0.7618239521980286,0.35770753026008606,0.7580971717834473,0.4226357340812683,0.0010000000474974513
13,0.7651113271713257,0.35365888476371765,0.7540485858917236,0.423152357339859,0.0010000000474974513
14,0.7655355334281921,0.3561602234840393,0.7591093182563782,0.42612355947494507,0.0010000000474974513
15,0.7714740037918091,0.34836068749427795,0.7530364394187927,0.42310604453086853,0.0010000000474974513
16,0.7651113271713257,0.3535185754299164,0.7525303363800049,0.43094193935394287,0.0010000000474974513
17,0.7680805921554565,0.3461367189884186,0.7616396546363831,0.4238857328891754,0.0010000000474974513
18,0.7698833346366882,0.3446795344352722,0.7489878535270691,0.4319870173931122,0.0010000000474974513
19,0.7707316875457764,0.34502270817756653,0.7489878535270691,0.42840951681137085,0.0010000000474974513
20,0.7698833346366882,0.3416638970375061,0.7530364394187927,0.42167186737060547,0.0010000000474974513
21,0.7696712613105774,0.342225581407547,0.7550607323646545,0.4265938699245453,0.0010000000474974513
22,0.7663838863372803,0.34095144271850586,0.7520242929458618,0.41818100214004517,0.0010000000474974513
23,0.7713679671287537,0.34491223096847534,0.7550607323646545,0.4395519196987152,0.0010000000474974513
24,0.7729586362838745,0.3415642976760864,0.7535424828529358,0.42442306876182556,0.0010000000474974513
25,0.776352047920227,0.33843252062797546,0.7591093182563782,0.41539040207862854,0.0010000000474974513
